player,num_seasons,transfer_fee,pos,pos_num
Alex,3,5000000,DF,1
Ángel Di María,6,63000000,FW,1
Blaise Matuidi,7,8000000,MF,1
David Luiz,3,49500000,DF,2
Edinson Cavani,7,64500000,FW,1
Ezequiel Lavezzi,4,28950000,MF,3
Giovani Lo Celso,3,10000000,MF,2
Gonçalo Guedes,2,30000000,FW,1
Gregory van der Wiel,4,6000000,DF,2
Grzegorz Krychowiak,1,27500000,MF,3
Javier Pastore,7,42000000,MF,3
Jérémy Ménez,3,8000000,FW,3
Jesé,3,25000000,FW,2
Julian Draxler,5,40000000,FW,1
Kévin Gameiro,2,11000000,FW,1
Kylian Mbappé,4,135000000,FW,1
Layvin Kurzawa,6,25000000,DF,1
Lucas Digne,2,15000000,DF,2
Lucas Moura,6,40000000,FW,1
Marco Verratti,1,12000000,MF,3
Marquinhos,8,31400000,DF,2
Maxwell,6,3500000,DF,2
Mohamed Sissoko,1,8000000,MF,3
Nenê,3,5000000,FW,2
Neymar,4,222000000,FW,1
Salvatore Sirigu,3,3900000,GK,4
Serge Aurier,3,10000000,DF,2
Thiago Motta,7,11500000,MF,3
Thiago Silva,5,42000000,DF,3
Yohan Cabaye,2,25000000,MF,3
Yuri Berchiche,1,16000000,DF,2
Zlatan Ibrahimovic,4,21000000,FW,1
